dayofweek,hour,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,count
6,0,1,0,0,1,9.84,14.395,81,0,16
6,1,1,0,0,1,9.02,13.635,80,0,40
6,2,1,0,0,1,9.02,13.635,80,0,32
6,3,1,0,0,1,9.84,14.395,75,0,13
6,4,1,0,0,1,9.84,14.395,75,0,1
6,5,1,0,0,2,9.84,12.88,75,6.0032,1
6,6,1,0,0,1,9.02,13.635,80,0,2
6,7,1,0,0,1,8.2,12.88,86,0,3
6,8,1,0,0,1,9.84,14.395,75,0,8
6,9,1,0,0,1,13.12,17.425,76,0,14
6,10,1,0,0,1,15.58,19.695,76,16.9979,36
6,11,1,0,0,1,14.76,16.665,81,19.0012,56
6,12,1,0,0,1,17.22,21.21,77,19.0012,84
6,13,1,0,0,2,18.86,22.725,72,19.9995,94
6,14,1,0,0,2,18.86,22.725,72,19.0012,106
6,15,1,0,0,2,18.04,21.97,77,19.9995,110
6,16,1,0,0,2,17.22,21.21,82,19.9995,93
6,17,1,0,0,2,18.04,21.97,82,19.0012,67
6,18,1,0,0,3,17.22,21.21,88,16.9979,35
6,19,1,0,0,3,17.22,21.21,88,16.9979,37
6,20,1,0,0,2,16.4,20.455,87,16.9979,36
6,21,1,0,0,2,16.4,20.455,87,12.998,34
6,22,1,0,0,2,16.4,20.455,94,15.0013,28
6,23,1,0,0,2,18.86,22.725,88,19.9995,39
7,0,1,0,0,2,18.86,22.725,88,19.9995,17
7,1,1,0,0,2,18.04,21.97,94,16.9979,17
7,2,1,0,0,2,17.22,21.21,100,19.0012,9
7,3,1,0,0,2,18.86,22.725,94,12.998,6
7,4,1,0,0,2,18.86,22.725,94,12.998,3
7,6,1,0,0,3,17.22,21.21,77,19.9995,2
7,7,1,0,0,2,16.4,20.455,76,12.998,1
7,8,1,0,0,3,16.4,20.455,71,15.0013,8
7,9,1,0,0,2,15.58,19.695,76,15.0013,20
7,10,1,0,0,2,14.76,17.425,81,15.0013,53
7,11,1,0,0,2,14.76,16.665,71,16.9979,70
7,12,1,0,0,2,14.76,16.665,66,19.9995,93
7,13,1,0,0,2,14.76,17.425,66,8.9981,75
7,14,1,0,0,3,14.76,17.425,76,12.998,59
7,15,1,0,0,3,13.94,16.665,81,11.0014,74
7,16,1,0,0,3,13.94,16.665,71,11.0014,76
7,17,1,0,0,1,13.94,16.665,57,12.998,65
7,18,1,0,0,2,14.76,16.665,46,22.0028,53
7,19,1,0,0,1,13.12,14.395,42,30.0026,30
7,20,1,0,0,1,12.3,13.635,39,23.9994,22
7,21,1,0,0,1,10.66,11.365,44,22.0028,31
7,22,1,0,0,1,9.84,10.605,44,19.9995,9
7,23,1,0,0,1,9.02,11.365,47,11.0014,8
1,0,1,0,1,1,9.02,9.85,44,23.9994,5
1,1,1,0,1,1,8.2,8.335,44,27.9993,2
1,4,1,0,1,1,6.56,6.82,47,26.0027,1
1,5,1,0,1,1,6.56,6.82,47,19.0012,3
1,6,1,0,1,1,5.74,5.305,50,26.0027,30
1,7,1,0,1,1,5.74,6.82,50,12.998,64
1,8,1,0,1,1,5.74,6.06,50,19.0012,154
1,9,1,0,1,1,6.56,6.82,43,26.0027,88
1,10,1,0,1,1,7.38,8.335,43,16.9979,44
1,11,1,0,1,1,8.2,9.09,40,22.0028,51
1,12,1,0,1,1,9.02,10.605,35,19.9995,61
1,13,1,0,1,1,9.84,10.605,35,19.0012,61
1,14,1,0,1,1,10.66,12.12,30,19.0012,77
1,15,1,0,1,1,10.66,12.12,30,16.9979,72
1,16,1,0,1,1,10.66,12.12,30,16.9979,76
1,17,1,0,1,1,9.84,11.365,30,15.0013,157
1,18,1,0,1,1,9.84,12.88,32,7.0015,157
1,19,1,0,1,1,8.2,12.88,47,0,110
1,20,1,0,1,1,8.2,11.365,47,7.0015,52
1,21,1,0,1,1,7.38,9.85,64,8.9981,52
1,22,1,0,1,1,5.74,7.575,69,8.9981,20
1,23,1,0,1,1,7.38,10.605,55,7.0015,12
2,0,1,0,1,1,6.56,9.09,55,7.0015,5
2,1,1,0,1,1,6.56,9.09,59,7.0015,2
2,2,1,0,1,1,5.74,7.575,63,8.9981,1
2,4,1,0,1,1,5.74,9.09,63,6.0032,2
2,5,1,0,1,1,4.92,7.575,68,7.0015,4
2,6,1,0,1,1,4.92,7.575,74,7.0015,36
2,7,1,0,1,1,4.92,7.575,74,8.9981,94
2,8,1,0,1,1,5.74,7.575,69,11.0014,179
2,9,1,0,1,1,6.56,7.575,64,15.0013,100
2,10,1,0,1,2,6.56,6.82,69,22.0028,42
2,11,1,0,1,1,9.02,10.605,51,19.9995,57
2,12,1,0,1,1,9.02,11.365,51,11.0014,78
2,13,1,0,1,1,9.84,11.365,56,12.998,97
2,14,1,0,1,1,10.66,12.88,52,15.0013,63
2,15,1,0,1,1,11.48,13.635,52,16.9979,65
2,16,1,0,1,1,12.3,14.395,49,16.9979,83
2,17,1,0,1,1,11.48,13.635,48,15.0013,212
2,18,1,0,1,1,10.66,12.88,48,12.998,182
2,19,1,0,1,1,9.84,12.88,48,7.0015,112
2,20,1,0,1,1,9.84,12.88,48,7.0015,54
2,21,1,0,1,1,9.02,13.635,64,0,48
2,22,1,0,1,1,9.02,12.88,64,6.0032,35
2,23,1,0,1,1,8.2,11.365,69,6.0032,11
3,0,1,0,1,1,8.2,12.88,64,0,6
3,1,1,0,1,1,6.56,9.85,74,6.0032,6
3,2,1,0,1,1,6.56,9.85,74,6.0032,2
3,4,1,0,1,1,9.84,11.365,48,15.0013,2
3,5,1,0,1,1,9.02,11.365,47,11.0014,3
3,6,1,0,1,1,8.2,9.85,47,15.0013,33
3,7,1,0,1,1,7.38,9.09,43,12.998,88
3,8,1,0,1,1,8.2,9.09,40,19.9995,195
3,9,1,0,1,1,9.02,9.85,37,22.0028,115
3,10,1,0,1,1,9.02,9.85,37,22.0028,57
3,11,1,0,1,1,10.66,11.365,33,22.0028,46
3,12,1,0,1,1,10.66,11.365,33,22.0028,79
3,13,1,0,1,1,11.48,12.88,30,19.9995,71
3,14,1,0,1,1,12.3,14.395,28,12.998,62
3,15,1,0,1,1,12.3,14.395,28,12.998,62
3,16,1,0,1,1,12.3,15.91,28,6.0032,89
3,17,1,0,1,1,9.84,11.365,38,12.998,190
3,18,1,0,1,1,9.84,12.12,38,8.9981,169
3,19,1,0,1,1,9.84,12.88,38,7.0015,132
3,20,1,0,1,1,9.02,11.365,47,11.0014,89
3,21,1,0,1,1,8.2,9.85,51,12.998,43
3,22,1,0,1,1,7.38,9.85,55,8.9981,42
3,23,1,0,1,1,8.2,12.88,47,0,19
4,0,1,0,1,1,7.38,12.12,55,0,11
4,1,1,0,1,1,6.56,11.365,64,0,4
4,2,1,0,1,1,6.56,11.365,64,0,2
4,4,1,0,1,2,6.56,9.85,64,6.0032,1
4,5,1,0,1,2,5.74,9.09,69,6.0032,4
4,6,1,0,1,2,5.74,8.335,63,7.0015,36
4,7,1,0,1,2,6.56,11.365,59,0,95
4,8,1,0,1,1,6.56,11.365,59,0,219
4,9,1,0,1,2,7.38,12.12,51,0,122
4,10,1,0,1,1,8.2,12.88,47,0,45
4,11,1,0,1,1,9.02,12.88,44,6.0032,59
4,12,1,0,1,1,10.66,14.395,35,0,84
4,13,1,0,1,1,10.66,13.635,35,7.0015,67
4,14,1,0,1,1,11.48,13.635,36,11.0014,70
4,15,1,0,1,1,11.48,13.635,36,0,62
4,16,1,0,1,1,10.66,12.88,38,11.0014,86
4,17,1,0,1,1,9.02,11.365,51,11.0014,172
4,18,1,0,1,1,9.02,11.365,51,8.9981,163
4,19,1,0,1,1,9.02,12.88,55,6.0032,112
4,20,1,0,1,1,8.2,10.605,51,11.0014,69
4,21,1,0,1,2,9.02,10.605,55,15.0013,48
4,22,1,0,1,2,9.02,10.605,51,19.0012,52
4,23,1,0,1,2,8.2,9.85,59,12.998,23
5,0,1,0,1,2,8.2,9.85,64,12.998,17
5,1,1,0,1,2,8.2,9.85,69,15.0013,7
5,2,1,0,1,2,8.2,9.85,69,15.0013,1
5,4,1,0,1,2,8.2,10.605,69,8.9981,1
5,5,1,0,1,3,9.02,13.635,55,0,5
5,6,1,0,1,2,8.2,12.88,69,0,34
5,7,1,0,1,1,8.2,10.605,69,8.9981,84
5,8,1,0,1,1,8.2,9.85,51,16.9979,210
5,9,1,0,1,1,8.2,9.09,47,19.9995,134
5,10,1,0,1,1,9.02,9.85,37,22.0028,63
5,11,1,0,1,2,8.2,9.85,40,15.0013,67
5,12,1,0,1,2,8.2,9.85,37,16.9979,59
5,13,1,0,1,2,8.2,9.09,37,19.0012,73
5,14,1,0,1,2,8.2,9.85,40,16.9979,50
5,15,1,0,1,2,8.2,10.605,37,11.0014,72
5,16,1,0,1,2,8.2,10.605,37,11.0014,87
5,17,1,0,1,2,8.2,12.88,37,0,187
5,18,1,0,1,1,8.2,11.365,40,6.0032,123
5,19,1,0,1,1,6.56,9.85,55,6.0032,95
5,20,1,0,1,1,7.38,10.605,47,7.0015,51
5,21,1,0,1,1,7.38,9.85,47,8.9981,39
5,22,1,0,1,2,7.38,9.85,43,11.0014,36
5,23,1,0,1,2,7.38,9.85,51,11.0014,15
6,0,1,0,0,2,7.38,9.85,51,11.0014,25
6,1,1,0,0,2,7.38,10.605,55,6.0032,16
6,2,1,0,0,2,7.38,12.12,55,0,16
6,3,1,0,0,3,7.38,9.85,55,11.0014,7
6,4,1,0,0,3,7.38,9.85,55,11.0014,1
6,5,1,0,0,2,6.56,8.335,74,11.0014,5
6,6,1,0,0,2,6.56,8.335,74,11.0014,2
6,7,1,0,0,2,6.56,9.09,74,7.0015,9
6,8,1,0,0,3,6.56,9.09,93,7.0015,15
6,9,1,0,0,3,6.56,9.09,93,7.0015,20
